variable,n_missing,pct_missing
smoking_during_pregnancy_raw_value,970,100
motor_vehicle_crash_occupancy_rate_raw_value,970,100
on_road_motor_vehicle_crash_related_er_visits_raw_value,970,100
off_road_motor_vehicle_crash_related_er_visits_raw_value,970,100
no_recent_dental_visit_raw_value,970,100
did_not_get_needed_health_care_raw_value,970,100
lead_poisoned_children_wi_raw_value,970,100
municipal_water_wi_raw_value,970,100
contaminants_in_municipal_water_wi_raw_value,970,100
adult_smoking_fl_raw_value,970,100
overweight_or_obese_adults_fl_raw_value,970,100
fruit_and_vegetable_consumption_fl_raw_value,970,100
adults_engaging_in_moderate_physical_activity_f_raw_value,970,100
excessive_drinking_fl_raw_value,970,100
adults_who_have_a_personal_doctor_fl_raw_value,970,100
insured_adults_fl_raw_value,970,100
adequate_social_emotional_support_fl_raw_value,970,100
access_to_healthy_foods_raw_value_149,970,100
communicable_disease_raw_value,970,100
coronary_heart_disease_hospitalizations_raw_value,970,100
cerebrovascular_disease_hospitalizations_raw_value,970,100
self_inflicted_injury_hospitalizations_raw_value,970,100
cancer_incidence_raw_value,970,100
breastfeeding_raw_value,970,100
alcohol_related_hospitalizations_raw_value,970,100
drug_arrests_raw_value,970,100
childhood_immunizations_raw_value,970,100
local_health_department_staffing_raw_value,970,100
influenza_immunizations_65_raw_value,970,100
dental_utilization_raw_value,970,100
cervical_cancer_screening_raw_value,970,100
colon_cancer_screening_raw_value,970,100
cholesterol_screening_raw_value,970,100
reading_proficiency_raw_value,970,100
w_2_enrollment_raw_value,970,100
poverty_raw_value,970,100
older_adults_living_alone_raw_value,970,100
hate_crimes_raw_value,970,100
child_abuse_raw_value,970,100
injury_hospitalizations_raw_value,970,100
fall_fatalities_65_raw_value,970,100
year_structure_built_raw_value,970,100
lead_poisoned_children_raw_value,970,100
male_population_0_17_raw_value,970,100
male_population_18_44_raw_value,970,100
male_population_45_64_raw_value,970,100
male_population_65_raw_value,970,100
total_male_population_raw_value,970,100
female_population_0_17_raw_value,970,100
female_population_18_44_raw_value,970,100
female_population_45_64_raw_value,970,100
female_population_65_raw_value,970,100
total_female_population_raw_value,970,100
population_growth_raw_value,970,100
opioid_hospital_visits_raw_value,970,100
child_mortality_aian,970,100
infant_mortality_aian,970,100
motor_vehicle_crash_deaths_aian,970,100
reading_scores_raw_value,970,100
reading_scores_aian,970,100
reading_scores_asian_pacific_islander,970,100
reading_scores_black,970,100
reading_scores_hispanic,970,100
reading_scores_white,970,100
math_scores_raw_value,970,100
math_scores_aian,970,100
math_scores_asian_pacific_islander,970,100
math_scores_black,970,100
math_scores_hispanic,970,100
math_scores_white,970,100
homicides_aian,970,100
suicides_aian,970,100
firearm_fatalities_aian,970,100
living_wage_raw_value,970,100
child_mortality_aian_2,970,100
infant_mortality_aian_2,970,100
reading_scores_raw_value_2,970,100
reading_scores_aian_2,970,100
reading_scores_asian_pacific_islander_2,970,100
reading_scores_black_2,970,100
reading_scores_hispanic_2,970,100
reading_scores_white_2,970,100
math_scores_raw_value_2,970,100
math_scores_aian_2,970,100
math_scores_asian_pacific_islander_2,970,100
math_scores_black_2,970,100
math_scores_hispanic_2,970,100
math_scores_white_2,970,100
living_wage_raw_value_2,970,100
firearm_fatalities_aian_2,970,100
motor_vehicle_crash_deaths_aian_2,970,100
premature_death_nhopi,970,100
teen_births_nhopi,970,100
injury_deaths_nhopi,970,100
life_expectancy_nhopi,970,100
premature_age_adjusted_mortality_nhopi,970,100
child_mortality_nhopi,970,100
infant_mortality_nhopi,970,100
infant_mortality_two_or_more_races,970,100
drug_overdose_deaths_nhopi,970,100
homicides_nhopi,970,100
suicides_nhopi,970,100
firearm_fatalities_nhopi,970,100
motor_vehicle_crash_deaths_nhopi,970,100
feelings_of_loneliness_raw_value,970,100
lack_of_social_and_emotional_support_raw_value,970,100
low_birthweight_nhopi,969,99.89690721649484
low_birth_weight_nhopi,969,99.89690721649484
drug_overdose_deaths_aian,968,99.79381443298969
firearm_fatalities_asian_pacific_islander_2,968,99.79381443298969
firearm_fatalities_asian,968,99.79381443298969
homicides_asian,967,99.69072164948454
drug_overdose_deaths_aian_2,966,99.58762886597938
firearm_fatalities_asian_pacific_islander,965,99.48453608247422
drug_overdose_deaths_asian,964,99.38144329896907
motor_vehicle_crash_deaths_asian,964,99.38144329896907
infant_mortality_asian,963,99.27835051546393
low_birth_weight_aian,962,99.17525773195877
child_mortality_asian,961,99.0721649484536
suicides_asian,960,98.96907216494846
infant_mortality_asian_pacific_islander_2,959,98.86597938144331
drug_overdose_deaths_asian_pacific_islander_2,959,98.86597938144331
motor_vehicle_crash_deaths_asian_pacific_islander_2,959,98.86597938144331
teen_births_asian,957,98.65979381443299
injury_deaths_aian,956,98.55670103092784
drug_overdose_deaths_asian_pacific_islander,956,98.55670103092784
homicides_asian_pacific_islander,956,98.55670103092784
teen_births_aian_2,956,98.55670103092784
teen_births_aian,954,98.35051546391752
infant_mortality_asian_pacific_islander,954,98.35051546391752
motor_vehicle_crash_deaths_asian_pacific_islander,954,98.35051546391752
low_birthweight_aian_2,953,98.24742268041237
injury_deaths_aian_2,953,98.24742268041237
injury_deaths_asian,953,98.24742268041237
child_mortality_asian_pacific_islander_2,952,98.14432989690721
premature_death_aian,949,97.83505154639175
premature_age_adjusted_mortality_aian,949,97.83505154639175
premature_death_aian_2,949,97.83505154639175
premature_age_adjusted_mortality_aian_2,949,97.83505154639175
premature_death_asian,949,97.83505154639175
premature_age_adjusted_mortality_asian,949,97.83505154639175
life_expectancy_asian,945,97.42268041237114
child_mortality_asian_pacific_islander,943,97.21649484536083
teen_births_asian_pacific_islander_2,943,97.21649484536083
life_expectancy_aian_2,943,97.21649484536083
low_birthweight_aian,942,97.11340206185567
life_expectancy_aian,941,97.01030927835052
low_birth_weight_asian,941,97.01030927835052
preventable_hospital_stays_aian_2,939,96.80412371134021
mammography_screening_aian_2,938,96.70103092783505
low_birth_weight_two_or_more_races,938,96.70103092783505
diabetes_monitoring_white,937,96.5979381443299
diabetes_monitoring_black,937,96.5979381443299
injury_deaths_asian_pacific_islander_2,937,96.5979381443299
low_birthweight_two_or_more_races,937,96.5979381443299
preventable_hospital_stays_aian,935,96.3917525773196
mammography_screening_aian,935,96.3917525773196
firearm_fatalities_hispanic,935,96.3917525773196
driving_alone_to_work_aian,934,96.28865979381443
firearm_fatalities_hispanic_2,934,96.28865979381443
driving_alone_to_work_aian_2,933,96.18556701030928
infant_mortality_hispanic_2,931,95.97938144329898
low_birth_weight_black,931,95.97938144329898
premature_death_asian_pacific_islander_2,930,95.87628865979381
premature_age_adjusted_mortality_asian_pacific_islander_2,930,95.87628865979381
teen_births_asian_pacific_islander,928,95.6701030927835
suicides_asian_pacific_islander,928,95.6701030927835
motor_vehicle_crash_deaths_hispanic,927,95.56701030927836
injury_deaths_asian_pacific_islander,926,95.4639175257732
low_birth_weight_hispanic,926,95.4639175257732
motor_vehicle_crash_deaths_hispanic_2,923,95.15463917525773
firearm_fatalities_black,922,95.05154639175257
infant_mortality_black_2,920,94.84536082474226
life_expectancy_asian_pacific_islander_2,919,94.74226804123711
child_mortality_hispanic_2,919,94.74226804123711
firearm_fatalities_black_2,919,94.74226804123711
drug_overdose_deaths_hispanic,917,94.5360824742268
motor_vehicle_crash_deaths_black,917,94.5360824742268
motor_vehicle_crash_deaths_black_2,917,94.5360824742268
residential_segregation_black_white_raw_value_3,915,94.3298969072165
flu_vaccinations_aian_2,915,94.3298969072165
fair_or_poor_health_ny_raw_value,913,94.12371134020619
adult_smoking_ny_raw_value,913,94.12371134020619
obese_adults_ny_raw_value,913,94.12371134020619
no_leisure_time_physical_activity_ny_raw_value,913,94.12371134020619
binge_drinking_ny_raw_value,913,94.12371134020619
excessive_drinking_ny_raw_value,913,94.12371134020619
dental_visit_within_the_past_year_ny_raw_value,913,94.12371134020619
premature_death_asian_pacific_islander,912,94.02061855670102
premature_age_adjusted_mortality_asian_pacific_islander,912,94.02061855670102
covid_19_age_adjusted_mortality_raw_value,912,94.02061855670102
school_funding_adequacy_raw_value,912,94.02061855670102
low_birthweight_asian_pacific_islander_2,912,94.02061855670102
preventable_hospital_stays_asian_pacific_islander_2,912,94.02061855670102
drug_overdose_deaths_hispanic_2,911,93.91752577319588
children_in_poverty_aian_2,910,93.81443298969072
adverse_climate_events_drought,910,93.81443298969072
access_to_parks_raw_value,909,93.71134020618557
drug_overdose_deaths_black,909,93.71134020618557
school_segregation_raw_value,909,93.71134020618557
childcare_centers_raw_value,909,93.71134020618557
low_birth_weight_white,909,93.71134020618557
chlamydia_rate_raw_value,908,93.6082474226804
primary_care_provider_rate_per_100000_population,908,93.6082474226804
hospice_use_raw_value,908,93.6082474226804
college_degrees_raw_value,908,93.6082474226804
single_parent_households_raw_value,908,93.6082474226804
access_to_healthy_foods_raw_value_221,908,93.6082474226804
infant_mortality_hispanic,908,93.6082474226804
gender_pay_gap_raw_value,908,93.6082474226804
childcare_cost_burden_raw_value,908,93.6082474226804
percent_non_hispanic_black_raw_value_2,908,93.6082474226804
percent_non_hispanic_white_raw_value_3,908,93.6082474226804
percent_female_raw_value,908,93.6082474226804
percent_rural_raw_value_2,908,93.6082474226804
low_birth_weight_raw_value,908,93.6082474226804
air_pollution_particulate_matter_raw_value_3,908,93.6082474226804
library_access_raw_value,908,93.6082474226804
access_to_parks_raw_value_2,908,93.6082474226804
adverse_climate_events_raw_value,908,93.6082474226804
adverse_climate_events_heat,908,93.6082474226804
adverse_climate_events_disasters,908,93.6082474226804
percent_disability_functional_limitations_raw_value,908,93.6082474226804
children_in_poverty_aian,907,93.50515463917526
child_mortality_black_2,907,93.50515463917526
flu_vaccinations_aian,906,93.4020618556701
teen_births_two_or_more_races,904,93.19587628865979
suicides_black,901,92.88659793814433
suicides_hispanic,899,92.68041237113403
drug_overdose_deaths_black_2,898,92.57731958762886
preventable_hospital_stays_asian_pacific_islander,897,92.47422680412372
low_birthweight_black_2,894,92.16494845360825
life_expectancy_asian_pacific_islander,893,92.06185567010309
homicides_hispanic,893,92.06185567010309
injury_deaths_hispanic,891,91.85567010309278
low_birthweight_hispanic_2,888,91.54639175257732
injury_deaths_hispanic_2,886,91.34020618556701
child_mortality_hispanic,884,91.1340206185567
injury_deaths_black,884,91.1340206185567
low_birthweight_asian_pacific_islander,883,91.03092783505154
drug_poisoning_deaths_raw_value,880,90.72164948453609
preventable_hospital_stays_hispanic_2,880,90.72164948453609
infant_mortality_black,879,90.61855670103093
teen_births_black_2,879,90.61855670103093
injury_deaths_black_2,877,90.41237113402062
premature_death_hispanic_2,876,90.30927835051547
premature_age_adjusted_mortality_hispanic_2,876,90.30927835051547
driving_alone_to_work_asian_pacific_islander,874,90.10309278350516
driving_alone_to_work_asian_pacific_islander_2,871,89.79381443298969
driving_alone_to_work_black_2,869,89.58762886597938
child_mortality_black,867,89.38144329896907
mammography_screening_asian_pacific_islander,866,89.27835051546393
mammography_screening_asian_pacific_islander_2,865,89.17525773195877
children_in_poverty_asian_pacific_islander,863,88.96907216494844
median_household_income_aian,861,88.76288659793813
median_household_income_aian_2,860,88.65979381443299
mammography_screening_hispanic_2,859,88.55670103092783
preventable_hospital_stays_black_2,858,88.45360824742268
children_in_poverty_asian_pacific_islander_2,858,88.45360824742268
premature_death_black_2,857,88.35051546391752
mammography_screening_black_2,857,88.35051546391752
premature_age_adjusted_mortality_black_2,857,88.35051546391752
juvenile_arrests_raw_value_2,855,88.14432989690721
life_expectancy_black_2,854,88.04123711340206
infant_mortality_white_2,854,88.04123711340206
binge_drinking_raw_value,852,87.83505154639175
residential_segregation_non_white_white_raw_value_2,848,87.42268041237114
low_birthweight_white_2,848,87.42268041237114
low_birthweight_raw_value_2,847,87.31958762886597
teen_births_hispanic_2,847,87.31958762886597
access_to_healthy_foods_raw_value,846,87.21649484536083
liquor_store_density_raw_value,846,87.21649484536083
illiteracy_raw_value,846,87.21649484536083
fast_food_restaurants_raw_value,846,87.21649484536083
drug_overdose_deaths_modeled_raw_value,846,87.21649484536083
high_school_completion_raw_value,846,87.21649484536083
broadband_access_raw_value,846,87.21649484536083
air_pollution_particulate_matter_raw_value_2,846,87.21649484536083
county_clustered_yes_1_no_0,846,87.21649484536083
homicides_black,845,87.11340206185567
infant_mortality_raw_value_2,845,87.11340206185567
flu_vaccinations_asian_pacific_islander_2,841,86.70103092783505
driving_alone_to_work_hispanic_2,838,86.3917525773196
flu_vaccinations_asian_pacific_islander,837,86.28865979381443
life_expectancy_hispanic_2,834,85.97938144329898
premature_age_adjusted_mortality_hispanic,828,85.36082474226804
premature_death_hispanic,827,85.25773195876289
children_in_poverty_black_2,824,84.94845360824742
median_household_income_black_2,821,84.63917525773196
homicides_white,818,84.3298969072165
infant_mortality_white,817,84.22680412371135
preventable_hospital_stays_hispanic,816,84.12371134020619
disconnected_youth_raw_value_2,816,84.12371134020619
juvenile_arrests_raw_value,807,83.1958762886598
flu_vaccinations_hispanic_2,807,83.1958762886598
preventable_hospital_stays_black,806,83.09278350515464
flu_vaccinations_black_2,806,83.09278350515464
residential_segregation_black_white_raw_value,803,82.78350515463917
residential_segregation_black_white_raw_value_4,803,82.78350515463917
residential_segregation_black_white_raw_value_2,802,82.68041237113401
median_household_income_hispanic_2,800,82.4742268041237
life_expectancy_black,799,82.37113402061856
child_mortality_white_2,798,82.2680412371134
school_funding_adequacy_raw_value_2,797,82.16494845360825
premature_death_black,795,81.95876288659794
firearm_fatalities_white,795,81.95876288659794
firearm_fatalities_raw_value_2,795,81.95876288659794
firearm_fatalities_white_2,795,81.95876288659794
life_expectancy_hispanic,794,81.85567010309278
child_mortality_raw_value_2,793,81.75257731958763
premature_age_adjusted_mortality_black,792,81.64948453608247
drug_overdose_deaths_white,790,81.44329896907216
income_inequality_raw_value_2,790,81.44329896907216
hiv_prevalence_raw_value_2,790,81.44329896907216
drug_overdose_deaths_white_2,790,81.44329896907216
children_in_poverty_hispanic_2,789,81.34020618556701
drug_overdose_deaths_raw_value_2,789,81.34020618556701
high_school_graduation_raw_value_2,789,81.34020618556701
motor_vehicle_crash_deaths_white_2,789,81.34020618556701
motor_vehicle_crash_deaths_white,788,81.23711340206185
motor_vehicle_crash_deaths_raw_value_2,788,81.23711340206185
teen_births_raw_value_2,787,81.1340206185567
teen_births_white_2,787,81.1340206185567
school_segregation_raw_value_2,787,81.1340206185567
child_care_centers_raw_value,787,81.1340206185567
sexually_transmitted_infections_raw_value_2,786,81.03092783505154
injury_deaths_white,785,80.9278350515464
injury_deaths_raw_value_2,785,80.9278350515464
injury_deaths_white_2,785,80.9278350515464
air_pollution_particulate_matter_days_raw_value,784,80.82474226804123
air_pollution_ozone_days_raw_value,784,80.82474226804123
access_to_recreational_facilities_raw_value,784,80.82474226804123
high_housing_costs_raw_value,784,80.82474226804123
teen_births_black,784,80.82474226804123
traffic_volume_raw_value,784,80.82474226804123
percent_american_indian_alaska_native_raw_value,784,80.82474226804123
premature_death_raw_value_2,784,80.82474226804123
premature_death_white_2,784,80.82474226804123
poor_or_fair_health_raw_value_2,784,80.82474226804123
poor_physical_health_days_raw_value_2,784,80.82474226804123
poor_mental_health_days_raw_value_2,784,80.82474226804123
adult_smoking_raw_value_2,784,80.82474226804123
adult_obesity_raw_value_2,784,80.82474226804123
food_environment_index_raw_value_2,784,80.82474226804123
physical_inactivity_raw_value_2,784,80.82474226804123
access_to_exercise_opportunities_raw_value_2,784,80.82474226804123
excessive_drinking_raw_value_2,784,80.82474226804123
alcohol_impaired_driving_deaths_raw_value_2,784,80.82474226804123
primary_care_physicians_raw_value_2,784,80.82474226804123
mental_health_providers_raw_value_2,784,80.82474226804123
preventable_hospital_stays_raw_value_2,784,80.82474226804123
preventable_hospital_stays_white_2,784,80.82474226804123
mammography_screening_raw_value_2,784,80.82474226804123
mammography_screening_white_2,784,80.82474226804123
flu_vaccinations_raw_value_2,784,80.82474226804123
flu_vaccinations_white_2,784,80.82474226804123
high_school_completion_raw_value_2,784,80.82474226804123
some_college_raw_value_2,784,80.82474226804123
children_in_poverty_raw_value_2,784,80.82474226804123
children_in_poverty_white_2,784,80.82474226804123
children_in_single_parent_households_raw_value_2,784,80.82474226804123
social_associations_raw_value_2,784,80.82474226804123
drinking_water_violations_raw_value_2,784,80.82474226804123
severe_housing_problems_raw_value_2,784,80.82474226804123
driving_alone_to_work_raw_value_2,784,80.82474226804123
driving_alone_to_work_white_2,784,80.82474226804123
long_commute_driving_alone_raw_value_2,784,80.82474226804123
life_expectancy_raw_value_2,784,80.82474226804123
life_expectancy_white_2,784,80.82474226804123
premature_age_adjusted_mortality_raw_value_2,784,80.82474226804123
premature_age_adjusted_mortality_white_2,784,80.82474226804123
frequent_physical_distress_raw_value_2,784,80.82474226804123
frequent_mental_distress_raw_value_2,784,80.82474226804123
diabetes_prevalence_raw_value_2,784,80.82474226804123
food_insecurity_raw_value_2,784,80.82474226804123
limited_access_to_healthy_foods_raw_value_2,784,80.82474226804123
insufficient_sleep_raw_value_2,784,80.82474226804123
uninsured_adults_raw_value_2,784,80.82474226804123
uninsured_children_raw_value_2,784,80.82474226804123
other_primary_care_providers_raw_value_2,784,80.82474226804123
gender_pay_gap_raw_value_2,784,80.82474226804123
median_household_income_raw_value_2,784,80.82474226804123
median_household_income_white_2,784,80.82474226804123
children_eligible_for_free_or_reduced_price_lunch_raw_value_2,784,80.82474226804123
child_care_cost_burden_raw_value,784,80.82474226804123
voter_turnout_raw_value,784,80.82474226804123
census_participation_raw_value,784,80.82474226804123
traffic_volume_raw_value_2,784,80.82474226804123
severe_housing_cost_burden_raw_value_2,784,80.82474226804123
broadband_access_raw_value_2,784,80.82474226804123
percent_below_18_years_of_age_raw_value_2,784,80.82474226804123
percent_65_and_older_raw_value_2,784,80.82474226804123
percent_american_indian_or_alaska_native_raw_value,784,80.82474226804123
percent_native_hawaiian_or_other_pacific_islander_raw_value,784,80.82474226804123
percent_not_proficient_in_english_raw_value_2,784,80.82474226804123
percent_female_raw_value_2,784,80.82474226804123
driving_alone_to_work_black,782,80.61855670103093
low_birthweight_black,779,80.30927835051547
low_birthweight_hispanic,775,79.89690721649485
mammography_screening_black,773,79.69072164948454
mammography_screening_hispanic,772,79.58762886597938
could_not_see_doctor_due_to_cost_raw_value,762,78.55670103092784
child_mortality_white,760,78.35051546391753
teen_births_hispanic,753,77.62886597938144
driving_alone_to_work_hispanic,745,76.80412371134021
flu_vaccinations_black,745,76.80412371134021
flu_vaccinations_hispanic,740,76.28865979381443
preventable_hospital_stays_white,738,76.08247422680412
life_expectancy_white,737,75.97938144329896
flu_vaccinations_white,726,74.84536082474227
median_household_income_black,725,74.74226804123711
ratio_of_population_to_primary_care_providers_other_than_physicians,722,74.43298969072166
flu_vaccinations_raw_value,722,74.43298969072166
life_expectancy_raw_value,722,74.43298969072166
severe_housing_cost_burden_raw_value,722,74.43298969072166
children_in_poverty_black,716,73.81443298969073
premature_death_white,712,73.4020618556701
inadequate_social_support_raw_value,711,73.29896907216494
premature_age_adjusted_mortality_white,710,73.19587628865979
mammography_screening_white,708,72.98969072164948
low_birthweight_white,700,72.16494845360825
teen_births_white,695,71.64948453608247
driving_alone_to_work_white,694,71.54639175257732
median_household_income_hispanic,686,70.72164948453609
children_in_poverty_hispanic,666,68.65979381443299
median_household_income_white,666,68.65979381443299
residential_segregation_non_white_white_raw_value,664,68.45360824742268
children_in_poverty_white,664,68.45360824742268
number_of_informally_handled_juvenile_delinquency_cases,663,68.35051546391753
number_of_juvenile_delinquency_cases_formally_processed_by_a_juvenile_court,660,68.04123711340206
percent_non_hispanic_black_raw_value,660,68.04123711340206
percent_non_hispanic_white_raw_value_2,660,68.04123711340206
median_household_income_asian,654,67.42268041237114
disconnected_youth_raw_value,629,64.84536082474227
children_eligible_for_free_lunch_raw_value,620,63.91752577319587
firearm_fatalities_raw_value,618,63.71134020618556
suicides_raw_value,604,62.2680412371134
crude_suicide_rate,604,62.2680412371134
suicides_white,604,62.2680412371134
children_eligible_for_free_or_reduced_price_lunch_raw_value,598,61.649484536082475
drug_overdose_deaths_raw_value,567,58.453608247422686
ratio_of_population_to_dentists,563,58.04123711340207
health_care_costs_raw_value,558,57.52577319587628
percent_non_hispanic_white_raw_value,558,57.52577319587628
homicides_raw_value,551,56.8041237113402
ratio_of_population_to_dentists_2,543,55.97938144329897
ratio_of_population_to_mental_health_providers,536,55.25773195876289
frequent_physical_distress_raw_value,536,55.25773195876289
frequent_mental_distress_raw_value,536,55.25773195876289
insufficient_sleep_raw_value,536,55.25773195876289
ratio_of_population_to_primary_care_physicians_2,536,55.25773195876289
ratio_of_population_to_mental_health_providers_2,536,55.25773195876289
percentage_of_households_with_high_housing_costs,536,55.25773195876289
percentage_of_households_with_overcrowding,536,55.25773195876289
percentage_of_households_with_lack_of_kitchen_or_plumbing_facilities,536,55.25773195876289
ratio_of_population_to_primary_care_providers_other_than_physicians_2,536,55.25773195876289
homeownership_raw_value,536,55.25773195876289
infant_mortality_raw_value,518,53.402061855670105
other_primary_care_providers_raw_value,474,48.865979381443296
social_associations_raw_value,474,48.865979381443296
injury_deaths_raw_value,435,44.84536082474227
ratio_of_population_to_primary_care_physicians,434,44.74226804123712
diabetes_monitoring_raw_value,434,44.74226804123712
percent_non_hispanic_african_american_raw_value,434,44.74226804123712
percent_american_indian_and_alaskan_native_raw_value,434,44.74226804123712
food_environment_index_raw_value,434,44.74226804123712
access_to_exercise_opportunities_raw_value,434,44.74226804123712
alcohol_impaired_driving_deaths_raw_value,434,44.74226804123712
severe_housing_problems_raw_value,434,44.74226804123712
long_commute_driving_alone_raw_value,434,44.74226804123712
food_insecurity_raw_value,434,44.74226804123712
child_mortality_raw_value,413,42.577319587628864
income_inequality_raw_value,412,42.47422680412371
drinking_water_violations_raw_value,391,40.30927835051546
air_pollution_particulate_matter_raw_value,372,38.35051546391753
premature_age_adjusted_mortality_raw_value,372,38.35051546391753
uninsured_children_raw_value,372,38.35051546391753
percent_females_raw_value,310,31.958762886597935
limited_access_to_healthy_foods_raw_value,310,31.958762886597935
mental_health_providers_raw_value,288,29.690721649484537
hiv_prevalence_raw_value,265,27.31958762886598
excessive_drinking_raw_value,258,26.5979381443299
sexually_transmitted_infections_raw_value,250,25.773195876288657
primary_care_physicians_raw_value,248,25.56701030927835
mammography_screening_raw_value,248,25.56701030927835
some_college_raw_value,248,25.56701030927835
children_in_single_parent_households_raw_value,248,25.56701030927835
diabetes_prevalence_raw_value,248,25.56701030927835
physical_inactivity_raw_value,248,25.56701030927835
median_household_income_raw_value,248,25.56701030927835
driving_alone_to_work_raw_value,248,25.56701030927835
percent_below_18_years_of_age_raw_value,248,25.56701030927835
percent_65_and_older_raw_value,248,25.56701030927835
percent_native_hawaiian_other_pacific_islander_raw_value,248,25.56701030927835
percent_not_proficient_in_english_raw_value,248,25.56701030927835
adult_smoking_raw_value,205,21.1340206185567
high_school_graduation_raw_value,202,20.824742268041238
poor_or_fair_health_raw_value,201,20.721649484536083
violent_crime_raw_value,199,20.51546391752577
motor_vehicle_crash_deaths_raw_value,197,20.309278350515463
poor_mental_health_days_raw_value,193,19.896907216494846
poor_physical_health_days_raw_value,192,19.79381443298969
teen_births_raw_value,192,19.79381443298969
low_birthweight_raw_value,189,19.48453608247423
premature_death_raw_value,186,19.175257731958766
adult_obesity_raw_value,186,19.175257731958766
uninsured_adults_raw_value,186,19.175257731958766
preventable_hospital_stays_raw_value,186,19.175257731958766
children_in_poverty_raw_value,186,19.175257731958766
dentists_raw_value,136,14.02061855670103
percent_rural_raw_value,124,12.783505154639174
uninsured_raw_value,124,12.783505154639174
population_raw_value,62,6.391752577319587
percent_asian_raw_value,62,6.391752577319587
percent_hispanic_raw_value,62,6.391752577319587
gdp,62,6.391752577319587
mean_temp_f,16,1.6494845360824744
mean_temp_c,16,1.6494845360824744
mean_humidity_percent,16,1.6494845360824744
days_observed,16,1.6494845360824744
fips,0,0
year,0,0
total_cases,0,0
name,0,0
unemployment_raw_value,0,0
county,0,0
